diario,id_news,snippet,category,time,title,year,tokens-headline,tokens-snippet,tokens-headline-stopwords-stemming,tokens-headline-stopwords,tokens-headline-stemming,tokens-snippet-stopwords-stemming,tokens-snippet-stopwords,tokens-snippet-stemming
La Hora (Ecuador),ecuador_lahora_2017_30,"Cuatro de estos carteles tendrian operaciones en Ecuador, entre estos, los de Sinaloa, liderado por el 'Chapo' Guzman, Zetas, el de la familia Michoacana y el ...",crime,13 Nov. 2017,Policia niega existencia de carteles mexicanos operando en Ecuador,2017.0,policia niega existencia carteles mexicanos operando ecuador,cuatro estos carteles tendrian operaciones ecuador entre estos los sinaloa liderado por chapo guzman zetas familia michoacana,polici nieg existent cartel mexican oper,policia niega existencia carteles mexicanos operando,polici nieg existent cartel mexican oper ecuador,cuatr cartel tendri oper sinalo lider chap guzm zet famili michoacan,cuatro carteles tendrian operaciones sinaloa liderado chapo guzman zetas familia michoacana,cuatr estos cartel tendri oper ecuador entre estos los sinalo lider por chap guzm zet famili michoacan
El Comercio,ecuador_elcomercio_2015_74,La manana de hoy lunes 7 de diciembre del 2015 en la Casa Guayasamin en Quito la Empresa Nacional Minera del Ecuador (Enami) y Codelco de Chile ...,sport,7 dic. 2015,Ecuador y Chile firmaron convenio para explotacion minera en Intag,2015.0,ecuador chile firmaron convenio para explotacion minera intag,manana hoy lunes diciembre del casa guayasamin quito empresa nacional minera del ecuador enami codelco chile,chil firm conveni par explotacion miner intag,chile firmaron convenio explotacion minera intag,ecuador chil firm conveni par explotacion miner intag,manan hoy lun diciembr cas guayasamin quit empres nacional miner enami codelc chil,manana hoy lunes diciembre casa guayasamin empresa nacional minera enami codelco chile,manan hoy lun diciembr del cas guayasamin quit empres nacional miner del ecuador enami codelc chil
El Universo,,"Ademas indico que recibiran denuncias por cobros excesivos o no autorizados a traves de tres canales: el portal Educar Ecuador, las direcciones distritales de ...",educ,13 jul. 2017 -,?Cual es la pension autorizada para colegios particulares?,,cual pension autorizada para colegios particulares,ademas indico que recibiran denuncias por cobros excesivos autorizados traves tres canales portal educar ecuador las direcciones distritales,pension autoriz par colegi particular,pension autorizada colegios particulares,cual pension autoriz par colegi particular,adem indic recibir denunci cobr exces autoriz trav tres canal portal educ direccion distrital,ademas indico recibiran denuncias cobros excesivos autorizados traves tres canales portal educar direcciones distritales,adem indic que recibir denunci por cobr exces autoriz trav tres canal portal educ ecuador las direccion distrital
El Universo,ecuador_eluniverso_2015_60,"El ingreso por turismo a Ecuador reporto en 2014 un total de 1.487,2 millones de dolares y la meta para este ano se ha marcado en 1.734,5 millones de dolares ...",economi,9 abr. 2015,Turismo dejo $ 1.487 millones en ingresos a Ecuador en 2014,2015.0,turismo dejo millones ingresos ecuador,ingreso por turismo ecuador reporto total millones dolares meta para este ano marcado millones dolares,turism dej millon ingres,turismo dejo millones ingresos,turism dej millon ingres ecuador,ingres turism report total millon dolar met par ano marc millon dolar,ingreso turismo reporto total millones dolares meta ano marcado millones dolares,ingres por turism ecuador report total millon dolar met par este ano marc millon dolar
El Universo,,"Banarse todos los dias podria aumentar el riesgo de infecciones, segun Elaine Larson, experta en enfermedades infecciosas de la Universidad de Columbia, ...",health,20 abr. 2018 -,"Banarse todos los dias es malo, asegura experta",,banarse todos los dias malo asegura experta,banarse todos los dias podria aumentar riesgo infecciones segun elaine larson experta enfermedades infecciosas universidad columbia,ban tod dias mal asegur expert,banarse dias malo asegura experta,ban tod los dias mal asegur expert,ban tod dias podri aument riesg infeccion segun elain larson expert enfermedad infecci univers columbi,banarse dias podria aumentar riesgo infecciones segun elaine larson experta enfermedades infecciosas universidad columbia,ban tod los dias podri aument riesg infeccion segun elain larson expert enfermedad infecci univers columbi
El Comercio (Ecuador),ecuador_elcomercio_2017_41,Un gol de Juan Martinez (93') le dio la victoria a Colombia ante Ecuador en el primer partido de las dos selecciones en el Hexagonal final del Sudamericano ...,sport,7 Mar. 2017,Con un gol en el ultimo minuto Colombia derroto a Ecuador en el ...,2017.0,con gol ultimo minuto colombia derroto ecuador,gol juan martinez dio victoria colombia ante ecuador primer partido las dos selecciones hexagonal final del sudamericano,gol ultim minut colombi derrot,gol ultimo minuto colombia derroto,con gol ultim minut colombi derrot ecuador,gol juan martinez dio victori colombi prim part dos seleccion hexagonal final sudamerican,gol juan martinez dio victoria colombia primer partido dos selecciones hexagonal final sudamericano,gol juan martinez dio victori colombi ante ecuador prim part las dos seleccion hexagonal final del sudamerican
La Hora (Ecuador),ecuador_lahora_2017_14,"Con el caracter de urgente en materia economica, el Ejecutivo remitio a la Asamblea la Ley Organica para Impulsar la Reactivacion Economica del Ecuador.",economi,1 Nov. 2017,Presupuesto para 2018 presenta un deficit de 4.102 millones,2017.0,presupuesto para presenta deficit millones,con caracter urgente materia economica ejecutivo remitio asamblea ley organica para impulsar reactivacion economica del ecuador,presupuest par present deficit millon,presupuesto presenta deficit millones,presupuest par present deficit millon,caract urgent materi econom ejecut remiti asamble ley organ par impuls reactivacion econom,caracter urgente materia economica ejecutivo remitio asamblea ley organica impulsar reactivacion economica,con caract urgent materi econom ejecut remiti asamble ley organ par impuls reactivacion econom del ecuador
El Universo,ecuador_eluniverso_2015_85,"Ecuador coloco $ 750 millones de un bono con vencimiento en el 2020 y rendimiento del 8,5% a cinco anos plazo. En marzo pasado hizo la primera venta por ...",economi,14 May. 2015,Nueva emision de bonos hace Ecuador,2015.0,nueva emision bonos hace ecuador,ecuador coloco millones bono con vencimiento rendimiento del cinco anos plazo marzo pasado hizo primera venta por,nuev emision bon hac,nueva emision bonos hace,nuev emision bon hac ecuador,coloc millon bon vencimient rendimient cinc anos plaz marz pas hiz primer vent,coloco millones bono vencimiento rendimiento cinco anos plazo marzo pasado hizo primera venta,ecuador coloc millon bon con vencimient rendimient del cinc anos plaz marz pas hiz primer vent por
La Hora (Ecuador),ecuador_lahora_2018_26,"El primer ministro nipon, Shinzo Abe, firmo hoy un acuerdo de ayuda financiera reembolsable con el presidente de Ecuador, Lenin Moreno, por valor de 70 ...",economi,5 Sep. 2018,Japon firma acuerdo de ayuda financiera con Ecuador de 70 millones ...,2018.0,japon firma acuerdo ayuda financiera con ecuador millones,primer ministro nipon shinzo abe firmo hoy acuerdo ayuda financiera reembolsable con presidente ecuador lenin moreno por valor,japon firm acuerd ayud financ millon,japon firma acuerdo ayuda financiera millones,japon firm acuerd ayud financ con ecuador millon,prim ministr nipon shinz abe firm hoy acuerd ayud financ reembols president moren valor,primer ministro nipon shinzo abe firmo hoy acuerdo ayuda financiera reembolsable presidente valor,prim ministr nipon shinz abe firm hoy acuerd ayud financ reembols con president ecuador lenin moren por valor
El Universo,,La Asociacion Nacional de Clinicas y Hospitales Privados del Ecuador hizo publico un pedido al presidente de la Republica para que disponga el pago ...,health,6 oct. 2018 -,40 clinicas piden a Lenin Moreno pago de deuda de salud,,clinicas piden lenin moreno pago deuda salud,asociacion nacional clinicas hospitales privados del ecuador hizo publico pedido presidente republica para que disponga pago,clinic pid moren pag deud salud,clinicas piden pago deuda salud,clinic pid lenin moren pag deud salud,asociacion nacional clinic hospital priv hiz public ped president republ par dispong pag,asociacion nacional clinicas hospitales privados hizo publico pedido presidente republica disponga pago,asociacion nacional clinic hospital priv del ecuador hiz public ped president republ par que dispong pag
El Comercio (Ecuador),ecuador_elcomercio_2017_31,"Las autoridades de transporte de Peru y Ecuador acordaron este viernes, 20 de ... asi como la entrega del estudio del ""Centro de Comercio"" en Huaquillas.",polit,20 Oct. 2017,Peru y Ecuador acuerdan reactivar grupo de trabajo sobre ...,2017.0,peru ecuador acuerdan reactivar grupo trabajo sobre,las autoridades transporte peru ecuador acordaron este viernes asi como entrega del estudio del centro comercio huaquillas,peru acuerd reactiv grup trabaj sobr,peru acuerdan reactivar grupo trabajo,peru ecuador acuerd reactiv grup trabaj sobr,autor transport peru acord viern asi com entreg estudi centr comerci huaquill,autoridades transporte peru acordaron viernes asi entrega estudio centro comercio huaquillas,las autor transport peru ecuador acord este viern asi com entreg del estudi del centr comerci huaquill
El Universo,,"Desde el 2006 hasta el 2014 el monto alcanza los $ 1.749 millones. La falta de pago le resta liquidez al fondo de salud, que ha bajado su inversion en el Biess, ...",health,22 mar. 2015 -,Deuda del Estado con el IESS incide en prestacion de salud ...,,deuda del estado con iess incide prestacion salud,desde hasta monto alcanza los millones falta pago resta liquidez fondo salud que bajado inversion biess,deud iess incid prestacion salud,deuda iess incide prestacion salud,deud del estad con iess incid prestacion salud,desd hast mont alcanz millon falt pag rest liquidez fond salud baj inversion biess,monto alcanza millones falta pago resta liquidez fondo salud bajado inversion biess,desd hast mont alcanz los millon falt pag rest liquidez fond salud que baj inversion biess
El Comercio,ecuador_elcomercio_2015_8,"La cita que mantienen hoy, 18 de diciembre del 2015, los presidentes de Ecuador, Rafael Correa, y su homologo del Peru, Ollanta Humala, durante el IX ...",economi,17 dic. 2015,Ecuador busca afianzar el comercio con Peru,2015.0,ecuador busca afianzar comercio con peru,cita que mantienen hoy diciembre del los presidentes ecuador rafael correa homologo del peru ollanta humala durante,busc afianz comerci peru,busca afianzar comercio peru,ecuador busc afianz comerci con peru,cit mantien hoy diciembr president corre homolog peru ollant humal durant,cita mantienen hoy diciembre presidentes homologo peru ollanta humala,cit que mantien hoy diciembr del los president ecuador rafael corre homolog del peru ollant humal durant
,,Unos ya estudian en institutos tecnicos y tecnologicos o estan siguiendo cursos complementarios para su formacion. Otros todavia recorren universidades ...,educ,15 may. 2017 -,Lista de espera para cupos en universidades ... - Guayaquil,,lista espera para cupos universidades guayaquil,unos estudian institutos tecnicos tecnologicos estan siguiendo cursos complementarios para formacion otros todavia recorren universidades,list esper par cup univers,lista espera cupos universidades,list esper par cup univers guayaquil,estudi institut tecnic tecnolog estan sigu curs complementari par formacion todavi recorr univers,estudian institutos tecnicos tecnologicos estan siguiendo cursos complementarios formacion todavia recorren universidades,unos estudi institut tecnic tecnolog estan sigu curs complementari par formacion otros todavi recorr univers
El Universo,,"Agobiado por un dolor en la columna, un paciente no vidente acude a un centro de salud publica para ser atendido, cerca de las 16:10. Alli es recibido con ...",health,7 abr. 2018 -,Con obras teatrales se hablo de salud en hospital Universitario ...,,con obras teatrales hablo salud hospital universitario,agobiado por dolor columna paciente vidente acude centro salud publica para ser atendido cerca las alli recibido con,obras teatral habl salud hospital universitari,obras teatrales hablo salud hospital universitario,con obras teatral habl salud hospital universitari,agobi dolor column pacient vident acud centr salud public par ser atend cerc alli recib,agobiado dolor columna paciente vidente acude centro salud publica ser atendido cerca alli recibido,agobi por dolor column pacient vident acud centr salud public par ser atend cerc las alli recib con
